timestamp,roll,pitch,yaw,wx,wy,wz,ax,ay,az,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11
187.79,-0.00660741,-0.15111,-0.0970764,2.59913e-05,-0.00052143,-4.96525e-05,1.4781,-0.0639478,9.69923,-0.0767317,-0.698799,1.69138,0.079129,-0.712283,1.68355,-0.156117,-0.684696,1.90068,0.158465,-0.689222,1.88897,-4.32582e-05,0.000542091,-0.000115392,-1.51399e-05,0.000542984,6.01929e-06,-6.9817e-05,0.000429412,0.000728989,0.00011057,0.000490231,0.000746669,0,0,0,0,0,0,0,0,0,0,0,0
187.79,-0.00660741,-0.15111,-0.0970764,2.59913e-05,-0.00052143,-4.96525e-05,1.4781,-0.0639478,9.69923,-0.0767317,-0.698799,1.69138,0.079129,-0.712283,1.68355,-0.156117,-0.684696,1.90068,0.158465,-0.689222,1.88897,-4.32582e-05,0.000542091,-0.000115392,-1.51399e-05,0.000542984,6.01929e-06,-6.9817e-05,0.000429412,0.000728989,0.00011057,0.000490231,0.000746669,0,0,0,0,0,0,0,0,0,0,0,0
187.791,-0.00660738,-0.15111,-0.0970764,2.68432e-05,-0.000508812,-4.9409e-05,1.47543,-0.0640272,9.69683,-0.0767318,-0.698798,1.69138,0.079129,-0.712283,1.68355,-0.156118,-0.684696,1.90068,0.158465,-0.689222,1.88897,-4.29391e-05,0.000552241,-0.000101152,-1.33785e-05,0.000553,1.94114e-05,-6.76621e-05,0.000452107,0.000713493,0.000110165,0.000512485,0.000731769,0,0,0,0,0,0,0,0,0,0,0,0
187.792,-0.00660735,-0.151111,-0.0970765,2.55218e-05,-0.000521236,-4.94774e-05,1.47811,-0.0639482,9.69923,-0.0767318,-0.698798,1.69138,0.079129,-0.712282,1.68355,-0.156118,-0.684695,1.90068,0.158465,-0.689221,1.88897,-4.2965e-05,0.000542032,-0.000114835,-1.48733e-05,0.00054343,5.07817e-06,-6.9609e-05,0.000429571,0.000729136,0.000110682,0.000490595,0.000745561,0,0,0,0,0,0,0,0,0,0,0,0
187.793,-0.00660732,-0.151111,-0.0970765,2.63747e-05,-0.00050862,-4.92347e-05,1.47544,-0.0640276,9.69683,-0.0767318,-0.698797,1.69138,0.079129,-0.712281,1.68355,-0.156118,-0.684695,1.90068,0.158465,-0.689221,1.88897,-4.2649e-05,0.000552177,-0.000100594,-1.31147e-05,0.000553438,1.84782e-05,-6.74571e-05,0.000452258,0.000713644,0.000110276,0.000512841,0.000730671,0,0,0,0,0,0,0,0,0,0,0,0
187.794,-0.00660728,-0.151112,-0.0970766,2.50557e-05,-0.000521044,-4.9304e-05,1.47812,-0.0639486,9.69923,-0.0767319,-0.698797,1.69138,0.079129,-0.712281,1.68355,-0.156118,-0.684694,1.90068,0.158465,-0.68922,1.88897,-4.26772e-05,0.000541964,-0.000114273,-1.4611e-05,0.000543861,4.15669e-06,-6.94056e-05,0.00042972,0.000729288,0.000110792,0.000490947,0.00074447,0,0,0,0,0,0,0,0,0,0,0,0
187.795,-0.00660725,-0.151112,-0.0970766,2.59095e-05,-0.000508431,-4.90621e-05,1.47545,-0.0640279,9.69683,-0.0767319,-0.698796,1.69138,0.079129,-0.71228,1.68355,-0.156118,-0.684694,1.90068,0.158465,-0.68922,1.88897,-4.23642e-05,0.000552103,-0.000100031,-1.28552e-05,0.000553862,1.75648e-05,-6.72567e-05,0.0004524,0.000713799,0.000110384,0.000513185,0.000729589,0,0,0,0,0,0,0,0,0,0,0,0
187.796,-0.00660722,-0.151113,-0.0970767,2.45929e-05,-0.000520855,-4.91323e-05,1.47814,-0.063949,9.69923,-0.076732,-0.698796,1.69138,0.079129,-0.71228,1.68355,-0.156118,-0.684694,1.90068,0.158465,-0.689219,1.88897,-4.23946e-05,0.000541886,-0.000113706,-1.43531e-05,0.000544279,3.25516e-06,-6.92069e-05,0.000429859,0.000729444,0.000110899,0.000491287,0.000743396,0,0,0,0,0,0,0,0,0,0,0,0
187.797,-0.00660719,-0.151113,-0.0970767,2.54479e-05,-0.000508245,-4.88914e-05,1.47546,-0.0640283,9.69683,-0.076732,-0.698795,1.69138,0.0791289,-0.712279,1.68355,-0.156118,-0.684693,1.90068,0.158465,-0.689219,1.88897,-4.20848e-05,0.000552019,-9.94633e-05,-1.26e-05,0.000554271,1.66716e-05,-6.70611e-05,0.000452531,0.00071396,0.000110489,0.000513516,0.000728526,0,0,0,0,0,0,0,0,0,0,0,0
187.798,-0.00660715,-0.151114,-0.0970768,2.55253e-05,-0.000505142,-4.88091e-05,1.47612,-0.0640034,9.69737,-0.076732,-0.698794,1.69138,0.0791289,-0.712279,1.68355,-0.156118,-0.684693,1.90068,0.158466,-0.689218,1.88897,-4.20164e-05,0.000554829,-9.4025e-05,-1.19947e-05,0.000557213,2.14545e-05,-6.65317e-05,0.00045921,0.000710915,0.000110546,0.000520203,0.00072522,0,0,0,0,0,0,0,0,0,0,0,0
187.798,-0.00660715,-0.151114,-0.0970768,2.55253e-05,-0.000505142,-4.88091e-05,1.47612,-0.0640034,9.69737,-0.076732,-0.698794,1.69138,0.0791289,-0.712279,1.68355,-0.156118,-0.684693,1.90068,0.158466,-0.689218,1.88897,-4.20164e-05,0.000554829,-9.4025e-05,-1.19947e-05,0.000557213,2.14545e-05,-6.65317e-05,0.00045921,0.000710915,0.000110546,0.000520203,0.00072522,0,0,0,0,0,0,0,0,0,0,0,0
187.799,-0.00660712,-0.151114,-0.0970768,2.39474e-05,-0.000520794,-4.89322e-05,1.4784,-0.0639408,9.69944,-0.0767321,-0.698794,1.69138,0.0791289,-0.712278,1.68355,-0.156118,-0.684692,1.90068,0.158466,-0.689218,1.88897,-4.21199e-05,0.000542103,-0.00011085,-1.38895e-05,0.000545211,4.0601e-06,-6.90265e-05,0.000431145,0.000730751,0.000111215,0.00049293,0.000742927,0,0,0,0,0,0,0,0,0,0,0,0
187.8,-0.00660709,-0.151115,-0.0970768,2.47253e-05,-0.000509131,-4.87057e-05,1.47557,-0.0640259,9.69691,-0.0767321,-0.698793,1.69138,0.0791289,-0.712278,1.68355,-0.156118,-0.684692,1.90068,0.158466,-0.689217,1.88897,-4.18253e-05,0.000551477,-9.76762e-05,-1.22614e-05,0.00055447,1.64287e-05,-6.70388e-05,0.000452108,0.00071647,0.000110844,0.000513491,0.000729176,0,0,0,0,0,0,0,0,0,0,0,0
187.801,-0.00660706,-0.151115,-0.0970769,2.33939e-05,-0.000521785,-4.87792e-05,1.47821,-0.063949,9.69927,-0.0767322,-0.698793,1.69138,0.0791289,-0.712277,1.68355,-0.156118,-0.684691,1.90069,0.158466,-0.689217,1.88897,-4.18535e-05,0.000541048,-0.000111761,-1.37988e-05,0.000544675,1.72853e-06,-6.90257e-05,0.000429055,0.000732376,0.000111361,0.000491087,0.000743236,0,0,0,0,0,0,0,0,0,0,0,0
187.802,-0.00660703,-0.151116,-0.0970769,2.42511e-05,-0.000509164,-4.85375e-05,1.47552,-0.0640289,9.69685,-0.0767322,-0.698792,1.69138,0.0791289,-0.712276,1.68355,-0.156118,-0.684691,1.90069,0.158466,-0.689216,1.88897,-4.15388e-05,0.000551155,-9.76898e-05,-1.2058e-05,0.000554637,1.4985e-05,-6.68786e-05,0.000451628,0.00071684,0.00011094,0.000513212,0.000728326,0,0,0,0,0,0,0,0,0,0,0,0
187.803,-0.006607,-0.151116,-0.097077,2.43369e-05,-0.000505975,-4.84533e-05,1.47617,-0.0640043,9.69739,-0.0767323,-0.698792,1.69138,0.0791289,-0.712276,1.68355,-0.156118,-0.68469,1.90069,0.158466,-0.689216,1.88897,-4.14645e-05,0.000553998,-9.23406e-05,-1.14556e-05,0.000557605,1.96901e-05,-6.63353e-05,0.000458343,0.000713645,0.000110982,0.000519925,0.000724889,0,0,0,0,0,0,0,0,0,0,0,0
187.804,-0.00660697,-0.151117,-0.097077,2.27721e-05,-0.000521514,-4.85743e-05,1.47845,-0.0639419,9.69946,-0.0767323,-0.698791,1.69138,0.0791289,-0.712275,1.68355,-0.156118,-0.68469,1.90069,0.158466,-0.689215,1.88898,-4.15603e-05,0.000541327,-0.000109219,-1.33478e-05,0.000545649,2.25581e-06,-6.881e-05,0.000430364,0.000733297,0.000111636,0.000492727,0.000742436,0,0,0,0,0,0,0,0,0,0,0,0
